"","subjectRef","activity","domain","system","device","jerk","magnitude","axis","stats","average"
"1",1,"LAYING","frequency","Body","accelerometer","FALSE","FALSE","X","mean",-0.9390990524
"2",1,"LAYING","frequency","Body","accelerometer","FALSE","FALSE","X","standardDeviation",-0.9244374346
"3",1,"LAYING","frequency","Body","accelerometer","FALSE","FALSE","Y","mean",-0.86706520518
"4",1,"LAYING","frequency","Body","accelerometer","FALSE","FALSE","Y","standardDeviation",-0.8336255561
"5",1,"LAYING","frequency","Body","accelerometer","FALSE","FALSE","Z","mean",-0.8826668762
"6",1,"LAYING","frequency","Body","accelerometer","FALSE","FALSE","Z","standardDeviation",-0.81289155944
"7",1,"LAYING","frequency","Body","accelerometer","FALSE","TRUE","FALSE","mean",-0.8617676481
"8",1,"LAYING","frequency","Body","accelerometer","FALSE","TRUE","FALSE","standardDeviation",-0.7983009404
"9",1,"LAYING","frequency","Body","accelerometer","TRUE","FALSE","X","mean",-0.9570738838
"10",1,"LAYING","frequency","Body","accelerometer","TRUE","FALSE","X","standardDeviation",-0.9641607086
"11",1,"LAYING","frequency","Body","accelerometer","TRUE","FALSE","Y","mean",-0.9224626098
"12",1,"LAYING","frequency","Body","accelerometer","TRUE","FALSE","Y","standardDeviation",-0.9322178704
"13",1,"LAYING","frequency","Body","accelerometer","TRUE","FALSE","Z","mean",-0.9480609042
"14",1,"LAYING","frequency","Body","accelerometer","TRUE","FALSE","Z","standardDeviation",-0.9605869872
"15",1,"LAYING","frequency","Body","accelerometer","TRUE","TRUE","FALSE","mean",-0.9333003608
"16",1,"LAYING","frequency","Body","accelerometer","TRUE","TRUE","FALSE","standardDeviation",-0.9218039756
"17",1,"LAYING","frequency","Body","gyroscope","FALSE","FALSE","X","mean",-0.850249174586
"18",1,"LAYING","frequency","Body","gyroscope","FALSE","FALSE","X","standardDeviation",-0.8822964508
"19",1,"LAYING","frequency","Body","gyroscope","FALSE","FALSE","Y","mean",-0.9521914948
"20",1,"LAYING","frequency","Body","gyroscope","FALSE","FALSE","Y","standardDeviation",-0.9512320494
"21",1,"LAYING","frequency","Body","gyroscope","FALSE","FALSE","Z","mean",-0.909302721
"22",1,"LAYING","frequency","Body","gyroscope","FALSE","FALSE","Z","standardDeviation",-0.9165825082
"23",1,"LAYING","frequency","Body","gyroscope","FALSE","TRUE","FALSE","mean",-0.8621901854
"24",1,"LAYING","frequency","Body","gyroscope","FALSE","TRUE","FALSE","standardDeviation",-0.82431943968
"25",1,"LAYING","frequency","Body","gyroscope","TRUE","TRUE","FALSE","mean",-0.9423669466
"26",1,"LAYING","frequency","Body","gyroscope","TRUE","TRUE","FALSE","standardDeviation",-0.9326606676
"27",1,"LAYING","time","Body","accelerometer","FALSE","FALSE","X","mean",0.22159824394
"28",1,"LAYING","time","Body","accelerometer","FALSE","FALSE","X","standardDeviation",-0.9280564692
"29",1,"LAYING","time","Body","accelerometer","FALSE","FALSE","Y","mean",-0.0405139534294
"30",1,"LAYING","time","Body","accelerometer","FALSE","FALSE","Y","standardDeviation",-0.83682740562
"31",1,"LAYING","time","Body","accelerometer","FALSE","FALSE","Z","mean",-0.11320355358
"32",1,"LAYING","time","Body","accelerometer","FALSE","FALSE","Z","standardDeviation",-0.826061401628
"33",1,"LAYING","time","Body","accelerometer","FALSE","TRUE","FALSE","mean",-0.8419291525
"34",1,"LAYING","time","Body","accelerometer","FALSE","TRUE","FALSE","standardDeviation",-0.79514486386
"35",1,"LAYING","time","Body","accelerometer","TRUE","FALSE","X","mean",0.0810865342
"36",1,"LAYING","time","Body","accelerometer","TRUE","FALSE","X","standardDeviation",-0.958482112
"37",1,"LAYING","time","Body","accelerometer","TRUE","FALSE","Y","mean",0.0038382040088
"38",1,"LAYING","time","Body","accelerometer","TRUE","FALSE","Y","standardDeviation",-0.9241492736
"39",1,"LAYING","time","Body","accelerometer","TRUE","FALSE","Z","mean",0.010834236361
"40",1,"LAYING","time","Body","accelerometer","TRUE","FALSE","Z","standardDeviation",-0.9548551108
"41",1,"LAYING","time","Body","accelerometer","TRUE","TRUE","FALSE","mean",-0.9543962646
"42",1,"LAYING","time","Body","accelerometer","TRUE","TRUE","FALSE","standardDeviation",-0.9282456284
"43",1,"LAYING","time","Body","gyroscope","FALSE","FALSE","X","mean",-0.016553093978
"44",1,"LAYING","time","Body","gyroscope","FALSE","FALSE","X","standardDeviation",-0.87354386782
"45",1,"LAYING","time","Body","gyroscope","FALSE","FALSE","Y","mean",-0.064486124088
"46",1,"LAYING","time","Body","gyroscope","FALSE","FALSE","Y","standardDeviation",-0.9510904402
"47",1,"LAYING","time","Body","gyroscope","FALSE","FALSE","Z","mean",0.14868943626
"48",1,"LAYING","time","Body","gyroscope","FALSE","FALSE","Z","standardDeviation",-0.9082846626
"49",1,"LAYING","time","Body","gyroscope","FALSE","TRUE","FALSE","mean",-0.874759548
"50",1,"LAYING","time","Body","gyroscope","FALSE","TRUE","FALSE","standardDeviation",-0.81901016976
"51",1,"LAYING","time","Body","gyroscope","TRUE","FALSE","X","mean",-0.107270949192
"52",1,"LAYING","time","Body","gyroscope","TRUE","FALSE","X","standardDeviation",-0.9186085208
"53",1,"LAYING","time","Body","gyroscope","TRUE","FALSE","Y","mean",-0.04151728689
"54",1,"LAYING","time","Body","gyroscope","TRUE","FALSE","Y","standardDeviation",-0.9679072436
"55",1,"LAYING","time","Body","gyroscope","TRUE","FALSE","Z","mean",-0.0740501211
"56",1,"LAYING","time","Body","gyroscope","TRUE","FALSE","Z","standardDeviation",-0.9577901596
"57",1,"LAYING","time","Body","gyroscope","TRUE","TRUE","FALSE","mean",-0.96346103
"58",1,"LAYING","time","Body","gyroscope","TRUE","TRUE","FALSE","standardDeviation",-0.9358409828
"59",1,"LAYING","time","gravity","accelerometer","FALSE","FALSE","X","mean",-0.24888179828
"60",1,"LAYING","time","gravity","accelerometer","FALSE","FALSE","X","standardDeviation",-0.8968300184
"61",1,"LAYING","time","gravity","accelerometer","FALSE","FALSE","Y","mean",0.70554977346
"62",1,"LAYING","time","gravity","accelerometer","FALSE","FALSE","Y","standardDeviation",-0.90772000676
"63",1,"LAYING","time","gravity","accelerometer","FALSE","FALSE","Z","mean",0.4458177198
"64",1,"LAYING","time","gravity","accelerometer","FALSE","FALSE","Z","standardDeviation",-0.85236629022
"65",1,"LAYING","time","gravity","accelerometer","FALSE","TRUE","FALSE","mean",-0.8419291525
"66",1,"LAYING","time","gravity","accelerometer","FALSE","TRUE","FALSE","standardDeviation",-0.79514486386
"67",1,"SITTING","frequency","Body","accelerometer","FALSE","FALSE","X","mean",-0.979641238723404
"68",1,"SITTING","frequency","Body","accelerometer","FALSE","FALSE","X","standardDeviation",-0.976412313191489
"69",1,"SITTING","frequency","Body","accelerometer","FALSE","FALSE","Y","mean",-0.944084550425532
"70",1,"SITTING","frequency","Body","accelerometer","FALSE","FALSE","Y","standardDeviation",-0.917275006382979
"71",1,"SITTING","frequency","Body","accelerometer","FALSE","FALSE","Z","mean",-0.959184889148936
"72",1,"SITTING","frequency","Body","accelerometer","FALSE","FALSE","Z","standardDeviation",-0.934469558085106
"73",1,"SITTING","frequency","Body","accelerometer","FALSE","TRUE","FALSE","mean",-0.947782922553192
"74",1,"SITTING","frequency","Body","accelerometer","FALSE","TRUE","FALSE","standardDeviation",-0.928444801702128
"75",1,"SITTING","frequency","Body","accelerometer","TRUE","FALSE","X","mean",-0.986597022553191
"76",1,"SITTING","frequency","Body","accelerometer","TRUE","FALSE","X","standardDeviation",-0.987492994468085
"77",1,"SITTING","frequency","Body","accelerometer","TRUE","FALSE","Y","mean",-0.981579467021277
"78",1,"SITTING","frequency","Body","accelerometer","TRUE","FALSE","Y","standardDeviation",-0.982513909574468
"79",1,"SITTING","frequency","Body","accelerometer","TRUE","FALSE","Z","mean",-0.986053092340425
"80",1,"SITTING","frequency","Body","accelerometer","TRUE","FALSE","Z","standardDeviation",-0.988339184893617
"81",1,"SITTING","frequency","Body","accelerometer","TRUE","TRUE","FALSE","mean",-0.985262126808511
"82",1,"SITTING","frequency","Body","accelerometer","TRUE","TRUE","FALSE","standardDeviation",-0.981606177446808
"83",1,"SITTING","frequency","Body","gyroscope","FALSE","FALSE","X","mean",-0.976161464042553
"84",1,"SITTING","frequency","Body","gyroscope","FALSE","FALSE","X","standardDeviation",-0.977904227021277
"85",1,"SITTING","frequency","Body","gyroscope","FALSE","FALSE","Y","mean",-0.975838585319149
"86",1,"SITTING","frequency","Body","gyroscope","FALSE","FALSE","Y","standardDeviation",-0.962345042553192
"87",1,"SITTING","frequency","Body","gyroscope","FALSE","FALSE","Z","mean",-0.951315544468085
"88",1,"SITTING","frequency","Body","gyroscope","FALSE","FALSE","Z","standardDeviation",-0.94391784106383
"89",1,"SITTING","frequency","Body","gyroscope","FALSE","TRUE","FALSE","mean",-0.958435589361702
"90",1,"SITTING","frequency","Body","gyroscope","FALSE","TRUE","FALSE","standardDeviation",-0.932198374893617
"91",1,"SITTING","frequency","Body","gyroscope","TRUE","TRUE","FALSE","mean",-0.989797547234043
"92",1,"SITTING","frequency","Body","gyroscope","TRUE","TRUE","FALSE","standardDeviation",-0.987049617234043
"93",1,"SITTING","time","Body","accelerometer","FALSE","FALSE","X","mean",0.261237565425532
"94",1,"SITTING","time","Body","accelerometer","FALSE","FALSE","X","standardDeviation",-0.977229008297872
"95",1,"SITTING","time","Body","accelerometer","FALSE","FALSE","Y","mean",-0.00130828765170213
"96",1,"SITTING","time","Body","accelerometer","FALSE","FALSE","Y","standardDeviation",-0.922618641914894
"97",1,"SITTING","time","Body","accelerometer","FALSE","FALSE","Z","mean",-0.104544182255319
"98",1,"SITTING","time","Body","accelerometer","FALSE","FALSE","Z","standardDeviation",-0.93958629106383
"99",1,"SITTING","time","Body","accelerometer","FALSE","TRUE","FALSE","mean",-0.948536786170213
"100",1,"SITTING","time","Body","accelerometer","FALSE","TRUE","FALSE","standardDeviation",-0.927078418723404
